,entry_id,updated,published,title,authors,summary,comment,journal_ref,doi,primary_category,categories,pdf_url
0,http://arxiv.org/abs/2305.06953v1,2023-05-11 16:27:13+00:00,2023-05-11 16:27:13+00:00,Asymptotic behavior of generalized capacities with applications to eigenvalue perturbations: the higher dimensional case,"Laura Abatangelo, Corentin Léna, Paolo Musolino","We provide a full series expansion of a generalization of the so-called
$u$-capacity related to the Dirichlet-Laplacian in dimension three and higher,
extending previous results of the authors, and of the authors together with
Virginie Bonnaillie-No\""el, dealing with the planar case. We apply the result
in order to study the asymptotic behavior of perturbed eigenvalues when
Dirichlet conditions are imposed on a small regular subset of the domain of the
eigenvalue problem.",39 pages,,,math.AP,"['math.AP', 'math.SP', '35P15, 31C15, 31B10, 35B25, 35C20']",http://arxiv.org/pdf/2305.06953v1
1,http://arxiv.org/abs/2305.06916v1,2023-05-11 16:00:30+00:00,2023-05-11 16:00:30+00:00,Unique continuation estimates on manifolds with Ricci curvature bounded below,"Christian Rose, Martin Tautenhahn","We prove quantitative unique continuation estimates for relatively dense sets
and spectral subspaces associated to small energies of Schr\""odinger operators
on Riemannian manifolds with Ricci curvature bounded below. The upper bound for
the energy range and the constant appearing in the estimate are given in terms
of the lower bound of the Ricci curvature and the parameters of the relatively
dense set.","23 pages, comments welcome!",,,math.AP,"['math.AP', 'math-ph', 'math.DG', 'math.FA', 'math.MP', 'math.SP']",http://arxiv.org/pdf/2305.06916v1
2,http://arxiv.org/abs/2305.06670v1,2023-05-11 09:10:21+00:00,2023-05-11 09:10:21+00:00,Dimensional reduction for a system of 2D anyons,"Nicolas Rougerie, Qiyun Yang","Anyons with a statistical phase parameter $\alpha\in(0,2)$ are a kind of
quasi-particles that, for topological reasons, only exist in a 1D or 2D world.
We consider the dimensional reduction for a 2D system of anyons in a tight
wave-guide. More specifically, we study the 2D magnetic-gauge picture model
with an imposed anisotropic harmonic potential that traps particles much
stronger in the $y$-direction than in the $x$-direction. We prove that both the
eigenenergies and the eigenfunctions are asymptotically decoupled into the
loose confining direction and the tight confining direction during this
reduction. The limit 1D system for the $x$-direction is given by the
impenetrable Tonks-Girardeau Bose gas, which has no dependency on $\alpha$, and
no trace left of the long-range interactions of the 2D model.",,,,math.AP,"['math.AP', 'cond-mat.quant-gas', 'math-ph', 'math.MP', 'math.SP', 'quant-ph']",http://arxiv.org/pdf/2305.06670v1
3,http://arxiv.org/abs/2305.06652v1,2023-05-11 08:35:38+00:00,2023-05-11 08:35:38+00:00,On the Krein-Rutman theorem and beyond,"Claudia Fonte Sanchez, Pierre Gabriel, Stéphane Mischler","In this work, we revisit the Krein-Rutman theory for semigroups of positive
operators in a Banach lattice framework and we provide some very general,
efficient and handy results with constructive estimates about: the existence of
a solution to the first eigentriplet problem; the geometry of the principal
eigenvalue problem; the asymptotic stability of the first eigenvector with
possible constructive rate of convergence.This abstract theory is motivated and
illustrated by several examples of differential, intro-differential and
integral operators. In particular, we revisit the first eigenvalue problem and
the asymptotic stability of the first eigenvector for: some parabolic equations
in a bounded domain and in the whole space; some transport equations in a
bounded or unbounded domain, including some growth-fragmentationmodels and some
kinetic models; the kinetic Fokker-Planck equation in the torus and in the
whole space; some mutation-selection models.",,,,math.AP,"['math.AP', 'math.FA', 'math.SP']",http://arxiv.org/pdf/2305.06652v1
4,http://arxiv.org/abs/2305.06612v1,2023-05-11 07:19:02+00:00,2023-05-11 07:19:02+00:00,Spectral Analysis and Hydrodynamic Manifolds for the Linearized Shakhov Model,"Florian Kogelbauer, Ilya Karlin","We perform a complete spectral analysis of the linearized Shakhov model
involving two relaxation times $\tau_{\rm fast}$ and $\tau_{\rm slow}$. Our
results are based on spectral functions derived from the theory of finite-rank
perturbations, which allows us to infer the existence of a critical wave number
$k_{\rm crit}$ limiting the number of discrete eigenvalues above the essential
spectrum together with the existence of a finite-dimensional slow manifold
defining non-local hydrodynamics. We discuss the merging of hydrodynamic modes
as well as the existence of second sound and the appearance of ghost modes
beneath the essential spectrum in dependence of the Prandtl number.",arXiv admin note: text overlap with arXiv:2301.03069,,,math-ph,"['math-ph', 'math.MP', 'math.SP']",http://arxiv.org/pdf/2305.06612v1
5,http://arxiv.org/abs/2305.06471v1,2023-05-10 21:37:26+00:00,2023-05-10 21:37:26+00:00,Algebraic Properties of the Fermi Variety for Periodic Graph Operators,"Jake Fillman, Wencai Liu, Rodrigo Matos","We present a method to estimate the number of irreducible components of the
Fermi varieties of periodic Schr\""odinger operators on graphs in terms of
suitable asymptotics. Our main theorem is an abstract bound for the number of
irreducible components of Laurent polynomials in terms of such asymptotics. We
then show how the abstract bound implies irreducibility in many lattices of
interest, including examples with more than one vertex in the fundamental cell
such as the Lieb lattice as well as certain models obtained by the process of
graph decoration.",,,,math.SP,"['math.SP', 'math-ph', 'math.AG', 'math.MP']",http://arxiv.org/pdf/2305.06471v1
6,http://arxiv.org/abs/2305.06290v1,2023-05-10 16:26:08+00:00,2023-05-10 16:26:08+00:00,On some notions of surface area and connectivity for graphs,"Patrizio Bifulco, Joachim Kerner","In this note we elaborate on some notions of surface area for discrete graphs
which are closely related to the inverse degree. These notions then naturally
lead to an associated connectivity measure of graphs and to the definition of a
special class of large graphs, called social graphs, that might prove
interesting for applications, among others, in computer science.",15 pages; six figures; comments welcome!,,,math.CO,"['math.CO', 'math.DG', 'math.MG', 'math.SP', '05C50, 05C40, 05C22, 05C90, 05C10']",http://arxiv.org/pdf/2305.06290v1
7,http://arxiv.org/abs/2305.06281v1,2023-05-10 16:18:07+00:00,2023-05-10 16:18:07+00:00,Some more Weyl asymptotics for functional difference operators with potential,Yaozhong W. Qiu,"We continue the program first initiated in [Geom. Funct. Anal. 26, 288-305
(2016)] and develop a modification of the technique introduced in that paper to
study the spectral asymptotics, namely the Riesz means and eigenvalue counting
functions, of functional difference operators $\smash{H_0 = \mathcal F^{-1}
M_{\cosh(\xi)} \mathcal F}$ with potentials of the form $\smash{W(x) =
\lvert{x\rvert}^pe^{\lvert{x\rvert}^\beta}}$ for either $\beta = 0$ and $p > 0$
or $\beta \in (0, 2]$ and $p \geq 0$. We provide a new method for studying
general potentials which includes the potentials studied in [Geom. Funct. Anal.
26, 288-305 (2016)] and [J. Math. Phys. 60, 103505 (2019)]. The proof involves
dilating the variance of the gaussian defining the coherent state transform in
a controlled manner preserving the expected asymptotics.","14 pages, first submission",,,math.SP,"['math.SP', 'math-ph', 'math.FA', 'math.MP', '35P05']",http://arxiv.org/pdf/2305.06281v1
8,http://arxiv.org/abs/2305.06237v1,2023-05-10 15:16:35+00:00,2023-05-10 15:16:35+00:00,Weyl laws for interacting particles,Ngoc Nhi Nguyen,"We study grand-canonical interacting fermionic systems in the mean-field
regime, in a trapping potential. We provide the first order term of integrated
and pointwise Weyl laws, but in the case with interaction. More precisely, we
prove the convergence of the densities of the grand-canonical Hartree-Fock
ground state to the Thomas-Fermi ground state in the semiclassical limit $h\to
0$. For the proof, we write the grand-canonical version of the results of
Fournais, Lewin and Solovej (Calc. Var. Partial Differ. Equ., 2018) and of
Conlon (Commun. Math. Phys., 1983).",35 pages,,,math-ph,"['math-ph', 'math.MP', 'math.SP']",http://arxiv.org/pdf/2305.06237v1
9,http://arxiv.org/abs/2305.05860v1,2023-05-10 03:09:31+00:00,2023-05-10 03:09:31+00:00,Cross-homology: Topology and spectral persistent cross-hubs of higher-order multilayer networks,"Elkaïoum M. Moutuou, Obaï B. K. Ali, Habib Benali","Multilayer networks have permeated all the sciences as a powerful
mathematical abstraction for interdependent heterogenous systems such as
multimodal brain connectomes, transportation, ecological systems, and
scientific collaboration. But describing such systems through a purely
graph-theoretic formalism presupposes that the interactions that define the
underlying infrastructures and support their functions are only pairwise-based;
a strong assumption likely leading to oversimplifications. Indeed, most
interdependent systems intrinsically involve higher-order intra- and
inter-layer interactions. For instance, ecological systems involve interactions
among groups within and in-between species, collaborations and citations link
teams of coauthors to articles and vice versa, interactions might exist among
groups of friends from different social networks, etc. While higher-order
interactions have been studied for monolayer systems through the language of
simplicial complexes and hypergraphs, a broad and systematic formalism
incorporating them into the realm of multilayer systems is still lacking. Here,
we introduce the concept of crossimplicial multicomplexes as a general
formalism for modelling interdependent systems involving higher-order intra-
and inter-layer connections. Subsequently, we introduce cross-homology and its
spectral counterpart, the cross-Laplacian operators, to establish a rigorous
mathematical framework for quantifying global and local intra- and inter-layer
topological structures in such systems. When applied to multilayer networks,
these cross-Laplacians provide powerful methods for detecting clusters in one
layer that are controlled by hubs in another layer. We call such hubs spectral
cross-hubs and define spectral persistence as a way to rank them according to
their emergence along the cross-Laplacian spectra.",,,,math.AT,"['math.AT', 'cs.SI', 'math.SP', 'physics.soc-ph']",http://arxiv.org/pdf/2305.05860v1
